tag,n_queries,n_pages,recall@5
bench_stats_424,,,nan
bge_m3_ocr,424,1898,36.79
clip_vit_b32,424,1898,1.89
colnomic_3b,424,1898,92.69
colnomic_7b,424,1898,91.27
colpali_v13,424,1898,69.58
colpali_zeroshot,424,1898,76.89
colqwen25_v0_2,424,1898,87.26
dse_qwen2_2b,424,1898,22.17
hpc_colpali_bq,424,1898,65.09
layoutlmv3,424,1898,0.00
legacy78q_judge,,,nan
legacy78q_retrieval,,,nan
nemotron_colembed_4b,424,1898,92.92
nemotron_colembed_8b,424,1898,95.28
nougat_decode_minilm,424,1898,0.47
ocr_minilm,424,1898,25.24
pix2struct_decode_minilm,424,1898,7.31
tiling_full_page_424,424,1898,76.89
tiling_tile_level_424,424,1898,82.08
udop_decode_minilm,424,1898,0.00
visionrag_pyramid,424,1898,23.11
visrag_ret,424,1898,53.77
